px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	v_true	yaw_angle_true	yaw_rate_true	vx_true	vy_true	NIS
85.6576	23.8653	1.54726	-0.434141	-0.186034	85.6378	23.808	85.7688	23.8451	1.47016	-0.268495	0	1.41749	-0.390006	1.57278	0
85.7112	23.8814	1.64366	-0.415219	-0.172166	85.9743	23.7547	85.7688	23.8451	1.47016	-0.268495	0	1.41749	-0.390006	0	0.717575
86.9543	23.4926	1.30778	-0.395185	-0.0709563	86.9449	23.527	87.1776	23.4252	1.38814	-0.3109	0	1.32159	-0.424654	0.724747	0
87.065	23.521	1.39653	-0.342611	-0.040686	87.6171	23.5127	87.1776	23.4252	1.38814	-0.3109	0	1.32159	-0.424654	0	3.79758
88.7737	22.8011	1.95643	-0.415468	-0.0560168	88.8227	22.7869	88.4904	22.9745	1.31223	-0.350448	0	1.23248	-0.450514	1.22549	0
88.6948	22.777	1.7316	-0.480159	-0.107801	88.4191	22.9498	88.4904	22.9745	1.31223	-0.350448	0	1.23248	-0.450514	0	1.26658
89.5641	22.2864	0.964985	-0.559246	-0.103571	89.4967	22.3082	89.7145	22.5017	1.2432	-0.386745	0	1.15138	-0.468904	2.28509	0
89.6202	22.2975	1.08796	-0.527147	-0.081385	89.7821	22.4826	89.7145	22.5017	1.2432	-0.386745	0	1.15138	-0.468904	0	0.705186
90.5144	21.6738	1.12125	-0.635241	-0.0957203	90.5133	21.6677	90.858	22.0141	1.18172	-0.419427	0	1.07929	-0.481241	0.0128093	0
90.6051	21.6921	1.3085	-0.557259	-0.0425154	90.8419	22.0974	90.858	22.0141	1.18172	-0.419427	0	1.07929	-0.481241	0	1.86249
91.7065	21.1011	1.29586	-0.491724	0.0126926	91.7178	21.1152	91.9302	21.5174	1.12842	-0.448168	0	1.01698	-0.488964	0.119598	0
91.767	21.1165	1.25422	-0.466108	0.019037	92.0492	21.5289	91.9302	21.5174	1.12842	-0.448168	0	1.01698	-0.488964	0	1.84356
92.8468	20.9104	1.09494	-0.192413	0.149782	92.8599	20.9537	92.9411	21.016	1.08383	-0.472681	0	0.964993	-0.493443	0.763374	0
92.9184	20.9304	1.04889	-0.157528	0.164152	93.3186	21.0712	92.9411	21.016	1.08383	-0.472681	0	0.964993	-0.493443	0	2.40553
93.5237	20.3148	0.622289	-0.507546	-0.0955967	93.4668	20.2155	93.9011	20.513	1.0484	-0.492721	0	0.92369	-0.495919	3.91314	0
93.5953	20.333	0.891986	-0.473145	-0.067811	93.7423	20.5071	93.9011	20.513	1.0484	-0.492721	0	0.92369	-0.495919	0	1.18522
95.2093	19.6505	1.91609	-0.350513	0.036575	95.3229	19.6585	94.8209	20.01	1.02247	-0.508088	0	0.893308	-0.497439	4.90536	0
95.0343	19.6098	1.39774	-0.557707	-0.0969553	94.494	19.8854	94.8209	20.01	1.02247	-0.508088	0	0.893308	-0.497439	0	6.00932
95.5695	19.6374	0.367446	-0.372199	0.0279824	95.5039	19.6984	95.7116	19.5078	1.00631	-0.518628	0	0.87398	-0.498816	4.17078	0
95.6082	19.6191	0.687927	-0.358157	0.0373344	95.6097	19.5804	95.7116	19.5078	1.00631	-0.518628	0	0.87398	-0.498816	0	1.05136
96.2719	19.2084	0.798847	-0.498182	-0.0507629	96.2641	19.1597	96.5842	19.0065	1.00008	-0.524235	0	0.865773	-0.500589	0.492785	0
96.3187	19.2138	0.903654	-0.466567	-0.0311389	96.559	18.8688	96.5842	19.0065	1.00008	-0.524235	0	0.865773	-0.500589	0	0.496126
97.4749	18.7197	1.36175	-0.366412	0.0330866	97.5286	18.727	97.45	18.506	1.00384	-0.524855	0	0.868716	-0.503009	1.08917	0
97.4444	18.7124	1.18897	-0.411883	0.00174332	97.5333	18.1735	97.45	18.506	1.00384	-0.524855	0	0.868716	-0.503009	0	0.37437
98.238	18.3657	0.881477	-0.388183	0.00981477	98.2105	18.3739	98.3198	18.0049	1.01755	-0.52048	0	0.882805	-0.506023	0.374467	0
98.2616	18.3693	0.89905	-0.377535	0.0146603	98.4162	18.1556	98.3198	18.0049	1.01755	-0.52048	0	0.882805	-0.506023	0	0.176956
99.0652	17.4623	1.11491	-0.907786	-0.251624	99.0363	17.357	99.2049	17.503	1.04108	-0.511154	0	0.908006	-0.509278	3.23955	0
99.0791	17.4928	1.28948	-0.806195	-0.167055	98.9782	17.2949	99.2049	17.503	1.04108	-0.511154	0	0.908006	-0.509278	0	1.2352
